Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
54,5.1,3.4,1.5,0.2,Iris-setosa
55,5.488326701933913,2.6,4.4,1.2,Iris-versicolor
56,5.156253462776541,3.3,,0.5,Iris-setosa
57,4.784855393506375,3.1,1.5318631202877748,0.1,Iris-setosa
58,6.7,3.1,4.4,1.4,Iris-versicolor
59,6.4,2.9,4.3,1.3,Iris-versicolor
60,6.4,3.1,5.5,1.8,Iris-virginica
61,5.5,,,1.4286877028171148,Iris-versicolor
62,6.2,3.044559287600057,4.3,1.309372927999116,Iris-versicolor
63,4.6,3.4,1.4,0.3,Iris-setosa
64,6.3,2.7,,1.8,Iris-virginica
65,6.300174769565839,3.2413958800749,,2.1275082025668874,Iris-virginica
66,5.4,3.7,1.5,0.2,Iris-setosa
67,6.211234813071161,2.9,4.7,1.4,Iris-virginica
68,6.3,3.2460003443257412,6.0,2.5,Iris-virginica
69,5.439009839260594,3.9,1.3,,Iris-setosa
70,6.884149174574911,3.117596016048837,5.4,2.1,Iris-virginica
71,6.5,2.8,4.6,1.4762783408831166,Iris-versicolor
72,5.1,3.5,1.4,0.20704198471938196,Iris-setosa
73,7.645324334849376,2.8,6.7,2.0,Iris-virginica
74,,,,,Iris-virginica
75,5.0,3.6,1.4,0.19932413111533237,Iris-setosa
76,6.7,3.1,4.7,1.5,Iris-versicolor
77,5.1,,3.0,,Iris-versicolor
78,4.4,2.9,1.375985267368146,0.2,Iris-setosa
79,7.9,3.830288615876219,6.4,2.0,Iris-virginica
80,4.3,3.0,1.1,0.1,Iris-setosa
81,,3.1,1.2678871494132444,0.1,Iris-setosa
82,6.9,3.1,,2.3,Iris-virginica
83,5.7,2.8,4.1,1.3,Iris-versicolor
84,,3.7,1.4515460123151027,0.4,Iris-versicolor
85,5.0,2.3,3.3,1.0,Iris-versicolor
86,6.5,,5.2,1.9193515399710543,Iris-virginica
87,6.7,3.3,5.853310472968523,2.1,Iris-virginica
88,8.66955335778855,,3.3420765458509925,0.22302926400143314,Iris-setosa
89,6.9,3.2,5.7,2.3,Iris-virginica
90,5.6,2.489220885825085,3.845846838221756,1.1,Iris-versicolor
91,5.408896809449579,2.5,4.6232631809807225,1.3,Iris-versicolor
92,4.7,3.2,1.474409375392606,0.2,Iris-setosa
93,5.1774267633374045,3.8,1.5,0.3,Iris-setosa
94,5.8,,4.1,1.0,Iris-versicolor
95,5.822067521934915,2.7113760396104114,5.1,1.9,Iris-virginica
96,6.4,3.2465332892962926,4.5,1.5,Iris-versicolor
97,7.3,2.9,6.3,1.8,Iris-versicolor
98,5.6,,4.2,1.3,Iris-versicolor
99,6.002208137030301,2.9,4.282957044417011,1.4665241710930168,Iris-versicolor
100,12.259026120547723,5.511962561202272,8.85334417069854,3.9633633603169116,Iris-virginica
101,5.0,3.5,1.6,0.5136355279900915,Iris-setosa
102,6.4,3.2,,2.3,Iris-virginica
103,5.6,2.9,3.6,1.3,Iris-versicolor
104,6.9,3.2,5.7,2.3,Iris-virginica
105,6.2,3.446190721840025,5.579954199335763,2.3,Iris-virginica
106,5.5,4.2,1.584778243458909,0.2,Iris-setosa
107,5.4,3.0,4.689843954980307,1.543752380744917,Iris-versicolor
108,5.7,2.4960558312850996,4.858974684888723,1.9613994926647795,Iris-versicolor
109,6.3,2.8,5.1,1.5,Iris-virginica
110,5.9,3.0,3.9226435510022175,1.5,Iris-versicolor
111,5.4,,1.7,,Iris-setosa
112,5.6,,,1.5,Iris-versicolor
113,5.787663751015859,2.8,4.895562039248032,,Iris-virginica
114,6.2,2.8,4.8,1.739632553418781,Iris-virginica
115,4.4,2.9,1.375985267368146,0.2,Iris-setosa
116,5.723687760598962,4.061382195529984,1.2,0.2,Iris-setosa
117,4.690586189324914,3.0,1.4,0.1,Iris-virginica
118,6.002208137030301,2.9,4.282957044417011,1.4665241710930168,Iris-versicolor
119,4.7895916511271155,3.4,1.6,0.2,Iris-setosa
120,6.6,2.9215287975588073,4.4,1.4,Iris-versicolor
121,5.7,2.6621066473117674,3.5,1.0,Iris-versicolor
122,11.54713746045398,6.516166620422553,7.5292430567019615,2.5619820263039657,Iris-versicolor
123,4.6512175202242885,3.6,1.0,0.2,Iris-setosa
124,6.6,2.9,4.6,1.3008374326812895,Iris-versicolor
125,5.8,2.7,5.1,1.9,Iris-virginica
126,7.2,3.6,,2.5,Iris-virginica
127,5.2,,,0.1311205622889009,Iris-setosa
128,,2.5,4.923824011255312,1.9,Iris-virginica
129,6.212308442110207,2.8,4.7,1.2,Iris-setosa
130,7.645324334849376,2.8,6.7,2.0,Iris-virginica
131,5.835980063388421,2.8,4.5,1.3,Iris-versicolor
132,5.0,3.2,1.034416661507674,0.2,Iris-setosa
133,5.0,3.3,1.4,0.2,Iris-setosa
134,5.5,3.5,,0.2,Iris-setosa
135,4.398609056236672,3.078647215825076,1.5,,Iris-setosa
136,5.0,3.5,1.0223527310687983,0.3,Iris-setosa
137,5.9,3.2069945118548344,4.8,1.8,Iris-versicolor
138,5.7,3.0,4.2,1.2,Iris-versicolor
139,7.6,3.0,6.943621688279645,1.9947028132508742,Iris-virginica
140,4.6,,1.2157299399904178,,Iris-setosa
141,5.408896809449579,2.5,4.6232631809807225,1.3,Iris-versicolor
142,5.1,3.5,,0.14674163657305864,Iris-setosa
143,,2.0,3.5,1.0702684989438267,Iris-versicolor
144,12.720860248390558,6.684452955342385,9.329455634962075,3.8613675360438804,Iris-virginica
145,6.2,2.2,4.693708869540052,1.4473685393826545,Iris-versicolor
146,5.0,3.0,1.6,0.10909966341495884,Iris-setosa
147,4.4,3.0,1.3,0.2,Iris-setosa
148,5.3,3.7,1.5,,Iris-versicolor
149,6.4,2.6907523635924857,5.3,,Iris-virginica
150,7.7,3.0,6.1,,Iris-versicolor
151,5.7,2.9,4.2,,Iris-versicolor
152,5.0,3.4,,0.2,Iris-setosa
153,5.214156413400667,,1.5,0.2,Iris-setosa
154,7.437076056199436,2.717619116295731,6.1,1.9,Iris-virginica
155,5.2,3.4,1.4,0.2,Iris-setosa
156,6.457491101414733,3.0,5.5,,Iris-virginica
157,,3.2,1.6,0.2,Iris-setosa
158,,3.4,1.9,0.2,Iris-setosa
159,6.7,3.015430479505768,5.0,1.7,Iris-versicolor
160,,,1.6,0.4,Iris-setosa
161,,2.6,5.568127398391068,1.4,Iris-virginica
162,4.9,3.0506245744079217,1.4,0.16038194967083733,Iris-setosa
